<<<<<<< HEAD
﻿番号,施設名,住所,電話番号,営業時間,料金,泉質,泉人優待,アクセス,施設サイト
196,甘木温泉：天然温泉　卑弥呼ロマンの湯,福岡県朝倉市甘木198-1,0946-21-8800,9:00〜22：00（入浴10:00～21:50、最終受付21:30）休日：月曜休（祝日の場合は営業）12/29～1/1,大人(中学生以上)530円こども(小学生)200円小学生未満 無料65才以上420円（2024.03現在）,単純温泉,,甘木鉄道甘木駅から徒歩約12分または西鉄甘木駅から徒歩約10分,http://himiko-romannoyu.com/,https://www.88onsen.com/spot/detail/hid/196
169,筑後川温泉：旅館ふくせんか みるきいの湯,うきは市浮羽町古川1099-8,0943-77-3131,13：00～21：00・水曜休・駐車場：普通車50台、大型4台・鍵付きロッカーあり（100円）,"大人600円 こども400円貸切風呂（1部屋）2,500円（60分）（2024.3現在）",硫黄泉,,JR筑後大石駅からタクシーで約5分、杷木バス停から徒歩で約10分,http://www.fukusenka.com,https://www.88onsen.com/spot/detail/hid/169
227,林田温泉：ゆのやまの湯,福岡県朝倉市杷木林田１１３２,090-1192-6841,13：00～20：00（最終受付19：00）木曜休,中学生以上600円小学生300円,単純温泉,,JR筑後大石駅からタクシーで約10分,https://www.facebook.com/yunoyama/,https://www.88onsen.com/spot/detail/hid/227
9,博多温泉：元祖　元湯,福岡市南区横手3-6-18,092-591-6713,13：00～18：00木・日曜休・受付で貴重品預かり可・駐車場：普通車6台,13：00～15：00（2時間）600円14：00～16：00（2時間）600円15：00～18：00（1時間）500円※こども 半額（2024.2現在）,塩化物泉,,西鉄大橋駅からタクシーで約6分,https://yokanavi.com/spot/72123/,https://www.88onsen.com/spot/detail/hid/9
218,吉井温泉：ニュー筑水荘,うきは市吉井町千年596,0943-74-5555,13：00～20：00不定休,大人  700円 ※交通安全協会カード提示で200円引きこども（7才～13才）350円,炭酸水素塩泉,大人入浴料200円引き(本人のみ1回),ＪＲ吉井駅からタクシーで約７分,https://chikusuisou.com/,https://www.88onsen.com/spot/detail/hid/218
178,遠賀川温泉：遠賀川温泉,遠賀郡遠賀町浅木61-1,093-293-6869,13：00～20：30（最終受付20:00）毎週火曜・第4月曜休・駐車場 20台・鍵付きロッカー有り（10円）,〈通常料金〉大人800円 こども500円,塩化物泉,100円引き（本人のみ1回）,遠賀川駅からタクシーで約7分,http://www.ongagawa.net/,https://www.88onsen.com/spot/detail/hid/178
167,あさくら温泉：ホテルグランスパアベニュー 幸楽の湯,朝倉市甘木1677-2,0946-22-1215,6：30～10：00、13：00～23：00無休・駐車場：普通車150台・鍵付きロッカーあり（無料）,大人800円（入湯税別）こども300円（入湯税別）（2021.10現在）,単純温泉,大浴場　入浴料大人800円を600円に（本人のみ1回）,甘木鉄道・西鉄甘木駅から徒歩約２分,https://www.avenue-group.jp/spa/,https://www.88onsen.com/spot/detail/hid/167
191,原鶴温泉：やぐるま荘,福岡県朝倉市杷木久喜宮1890-1,0946-62-0700,10：00～20：00（最終受付19：00）・不定休・駐車場：普通車30台、大型1台・鍵付きロッカー有り（100円、利用後返却）,大人 700円こども（3才～小学生）400円（2024.3現在）,単純温泉,入浴料100円引き(本人のみ1回),ＪＲ筑後吉井駅からタクシーで約10分,https://yaguruma.jp/,https://www.88onsen.com/spot/detail/hid/191
1,二日市温泉：博多湯,筑紫野市湯町1-14-5,092-922-2119,10：00～21：30（最終受付21：00）無休・駐車場：なし（近隣駐車場をご利用ください）・鍵付きロッカーあり（100円、利用後返却）,大人 350円（土日祝450円）中人(6～11才) 200円 小人(4･5才) 100円（2023.11.2現在）,単純温泉,,ＪＲ二日市駅から徒歩約10分西鉄二日市駅からバスで約10分、二日市温泉バス停下車すぐ,http://hakatayu.jp/,https://www.88onsen.com/spot/detail/hid/1
8,博多温泉：富士の苑,福岡市南区三宅3-19-7,092-551-4126,10:00～22:00火曜休（但し16:00以降入浴可）・駐車場：普通車50台、大型1台・鍵付きロッカーあり（10円）,大人（中学生以上）500円こども400円※1時間以内利用料金（2021.10現在）,塩化物泉,,西鉄大橋駅からタクシーで約3分,http://www.fujinoen.co.jp/,https://www.88onsen.com/spot/detail/hid/8
